Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
2123	40.63	6.4515	38.05	38.0507	-0.0001	37.9799	40.68	13.3680	35.33	35.335	-0.0188	35.195
2124	40.63	6.4515	38.05	38.0513	-0.0001	37.9805	39.65	10.9723	35.32	35.325	0.0016	35.208
2125	40.63	6.4515	38.05	38.0519	-0.0001	37.9811	39.69	10.8016	35.37	35.365	-0.0065	35.249
2126	40.63	6.4515	38.05	38.0525	-0.0001	37.9817	40.86	13.1979	35.52	35.520	-0.0249	35.380
2127	40.63	6.4515	38.05	38.0531	-0.0001	37.9824	40.96	13.3701	35.61	35.615	-0.0153	35.473
2128	40.63	6.4515	38.05	38.0538	-0.0001	37.9830	41.05	13.3734	35.70	35.699	-0.0136	35.558
2129	40.63	6.4515	38.05	38.0544	-0.0001	37.9836	39.37	9.6262	35.61	35.609	0.0146	35.505
2130	40.64	6.4515	38.05	38.0550	-0.0001	37.9842	37.03	4.4097	35.39	35.386	0.0359	35.335
2131	40.64	6.4515	38.06	38.0556	-0.0001	37.9848	35.16	0.3008	35.14	35.136	0.0404	35.126
2132	40.64	6.4515	38.06	38.0562	-0.0001	37.9854	35.02	0.0229	35.01	35.012	0.0200	35.005
2133	40.64	6.4515	38.06	38.0568	-0.0001	37.9860	34.93	0.0149	34.92	34.921	0.0146	34.916
2134	40.64	6.4515	38.06	38.0574	-0.0001	37.9867	34.85	0.0119	34.85	34.848	0.0118	34.844
2135	40.64	6.4515	38.06	38.0580	-0.0001	37.9873	34.79	0.0102	34.79	34.785	0.0102	34.781
2136	40.64	6.4515	38.06	38.0586	-0.0001	37.9879	34.73	0.0092	34.73	34.728	0.0092	34.725
2137	40.64	6.4515	38.06	38.0592	-0.0001	37.9885	34.68	0.0086	34.67	34.675	0.0086	34.672
2138	40.64	6.4515	38.06	38.0598	-0.0001	37.9891	34.63	0.0083	34.62	34.624	0.0083	34.621
2139	40.64	6.4515	38.06	38.0604	-0.0001	37.9897	34.58	0.0080	34.57	34.574	0.0080	34.571
2140	40.64	6.4515	38.06	38.0610	-0.0001	37.9902	34.53	0.0079	34.53	34.525	0.0079	34.522
2141	40.64	6.4515	38.06	38.0616	-0.0001	37.9908	34.48	0.0078	34.48	34.477	0.0078	34.474
2142	40.64	6.4515	38.06	38.0622	-0.0001	37.9914	34.43	0.0077	34.43	34.429	0.0077	34.426
2143	40.64	6.4515	38.06	38.0628	-0.0001	37.9920	36.15	3.7558	34.55	34.551	-0.0197	34.510
2144	40.64	6.4515	38.06	38.0634	-0.0001	37.9926	38.52	8.9727	34.80	34.802	-0.0405	34.709
2145	40.64	6.4515	38.06	38.0640	-0.0001	37.9932	40.41	13.0818	35.08	35.080	-0.0448	34.945
2146	40.65	6.4515	38.06	38.0646	-0.0001	37.9938	40.58	13.3599	35.23	35.231	-0.0243	35.092
2147	40.65	6.4515	38.07	38.0651	-0.0001	37.9943	40.69	13.3680	35.35	35.347	-0.0188	35.207
